transformed_date,namespace_value,total_fees,mb_posted
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,1.4544300000000006,1.844235
2023-12-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.15667399999999998,7.92306
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,1.504649000000001,1.879927
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAB0Y2VsZXN0aWE=,0.030597999999999997,1.643501
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.0038709999999999994,0.199601
2023-12-19,AAAAAAAAAAAAAAAAAAAAAAAAAAECAwQFBgcICRA=,0.01,3.6e-05
2024-02-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAABqVjuNvNnoE=,0.032425,1.732896
2023-11-11,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00798,1.6e-05
2023-11-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAfni6peuPBW8=,0.009618,0.001958
2023-12-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.088352999999999987,2.440676
2023-11-27,AAAAAAAAAAAAAAAAAAAAAAAAAAAAtwyT7znK7sA=,0.51000000000000012,0.025224
2024-01-19,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,15.405292000000003,67.035356
2024-01-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.04134800000000001,2.241125
2023-12-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.24723900000000001,13.05885
2024-01-03,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.6720829999999989,15.719677
2023-12-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.022337999999999997,0.78987
2024-02-02,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.12247799999999998,2.266387
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAABqVjuNvNnoE=,0.035775,1.912156
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.28367300000000012,5.262561
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.055662000000000031,1.863029
2024-01-29,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,4.044249,17.745298
2024-02-07,AAAAAAAAAAAAAAAAAAAAAAAAAAB0Y2VsZXN0aWE=,0.031945,1.69536
2024-01-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.24000000000000016,2.103272
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.042367,1.849676
2024-01-15,AAAAAAAAAAAAAAAAAAAAAAAAAAB0Y2VsZXN0aWE=,0.046677999999999983,2.423765
2024-01-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAABqVjuNvNnoE=,0.035768,1.911368
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAY2VsZm9ydW0=,0.0399,0.000258
2024-01-14,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.001798,0.096701
2024-01-19,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,3.3518640000000013,68.446728
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,5.54379,23.809274
2024-01-15,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,6.0072350000000014,25.893913
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.27874299999999985,5.173463
2024-02-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.28048599999999996,5.203063
2024-02-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAADE4vVvVyRsg=,0.055751000000000044,1.854679
2024-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.22338000000000002,11.747201
2024-01-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.123642,5.785128
2024-01-16,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.555998,6.35152
2024-01-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.10796099999999999,4.918736
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,1.76185,7.358762
2023-12-27,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.5300640000000003,15.160861
2023-12-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.0064089999999999989,0.229802
2024-01-10,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.077931,4.520607
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.045922999999999992,2.410133
2024-01-29,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.80648800000000009,0.940264
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAADEyMzQ1Njc4OTA=,0.01596,1.8e-05
2024-02-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.23125599999999996,12.56231
2024-01-10,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.6801200000000014,16.06359
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.505262,15.219739
2024-01-21,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.063311000000000034,2.301431
2024-01-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.037554000000000011,2.025563
2024-02-06,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.047765999999999996,2.501245
2024-02-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.043498,2.295214
2024-01-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.038125000000000006,2.059279
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAABhc3Rybyo=,0.000726,0.014572
2024-01-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.031956,1.697528
2023-11-16,AAAAAAAAAAAAAAAAAAAAAAAAAAAAz0Q6HXK9dHw=,0.41766600000000004,0.033225
2023-12-31,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.0099200000000000087,0.000124
2023-12-15,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,0.008062,0.318135
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAAAAcmlja3JvbGw=,0.0016,0.00053
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA3dM=,0.023939999999999996,1.7e-05
,AAAAAAAAAAAAAAAAAAAAAAAAAAAACOX2eb9xFss=,3.6343089999999996,4.185467
2024-01-27,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.004068,0.23001
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,3.627786,77.076071
2024-01-13,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,4.3407820000000017,18.610165
2024-01-24,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.070244,2.734676
2023-12-28,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,4.6680199999999994,20.030496
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.18217599999999995,9.278524
2024-01-14,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.899721,16.844541
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.291306,5.403296
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,3.999646,17.167663
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,1.8625580000000002,2.715301
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAAB0Y2VsZXN0aWE=,0.031693,1.707743
2023-12-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.042605999999999991,1.855336
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.018672000000000005,0.630514
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.039804,2.159064
,AAAAAAAAAAAAAAAAAAAAAAAAAAAA5u3T/774x9g=,0.13446399999999997,0.004564
2024-01-12,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.038727000000000004,0.41066
2024-01-06,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00016,2e-06
2023-11-28,AAAAAAAAAAAAAAAAAAAAAAAAAFczU3Rlc3QwMDE=,0.00016,2.4e-05
2024-01-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,1.211661,1.614809
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.085012999999999991,3.56099
2023-12-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.045032999999999976,1.969638
2023-12-26,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,5.3821220000000007,23.172247
2023-12-22,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,6.1324420000000011,25.629237
2023-11-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAP5RhXayIQX0=,0.32315399999999994,0.027366
2024-01-19,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.051078999999999986,1.80025
